================================================================================
Airbench94 Training Configuration Log
================================================================================

AGC Used: False
Learning Rate (per 1024 examples): 46.0

Summary Results:
Mean Accuracy: 0.8124
Std Accuracy: 0.1416
Time Mean: 4.5440 seconds
Time Std: 1.5540 seconds

================================================================================

Detailed Training Logs:
================================================================================

|          |      2  |      1.8711  |     0.4795  |   0.3770  |               |              1.3485  |
|          |      3  |      2.2422  |     0.2666  |   0.2413  |               |              1.8167  |
|          |      4  |      2.3027  |     0.0400  |   0.0738  |               |              2.1927  |
|          |      5  |      2.3027  |     0.1367  |   0.0870  |               |              2.5930  |
|          |      6  |      2.2754  |     0.2168  |   0.1002  |               |              3.0012  |
|          |      7  |      1.6318  |     0.5938  |   0.3785  |               |              3.4051  |
|          |      8  |      1.2393  |     0.8076  |   0.6774  |               |              3.7888  |
|          |      9  |      1.1211  |     0.8711  |   0.8730  |               |              4.1613  |
|          |   eval  |      1.1211  |     0.8711  |   0.8730  |       0.8765  |              4.3331  |
------------------------------------------------------------------------------------------------------

|      21  |      0  |      1.4023  |     0.7207  |   0.6121  |               |              0.4215  |
|          |      1  |      1.4141  |     0.7295  |   0.3719  |               |              0.8374  |
|          |      2  |      1.6328  |     0.5996  |   0.2385  |               |              1.2558  |
|          |      3  |      2.3027  |     0.0918  |   0.1000  |               |              1.6594  |
|          |      4  |      2.3027  |     0.1094  |   0.1000  |               |              2.0630  |
|          |      5  |      2.2305  |     0.1270  |   0.1000  |               |              2.4778  |
|          |      6  |      2.0742  |     0.2393  |   0.2643  |               |              2.8822  |
|          |      7  |      1.6357  |     0.5410  |   0.2999  |               |              3.2851  |
|          |      8  |      1.3330  |     0.7520  |   0.5601  |               |              3.6894  |
|          |      9  |      1.2334  |     0.8125  |   0.7980  |               |              4.0596  |
|          |   eval  |      1.2334  |     0.8125  |   0.7980  |       0.8079  |              4.2298  |
------------------------------------------------------------------------------------------------------

|      22  |      0  |      1.4932  |     0.6592  |   0.4330  |               |              0.4201  |
|          |      1  |      1.3574  |     0.7588  |   0.3573  |               |              0.8371  |
|          |      2  |      2.0605  |     0.4922  |   0.2644  |               |              1.2560  |
|          |      3  |      1.9834  |     0.4258  |   0.1957  |               |              1.6379  |
|          |      4  |      2.3027  |     0.1182  |   0.1007  |               |              2.0403  |
|          |      5  |      2.2734  |     0.1279  |   0.1168  |               |              2.4410  |
|          |      6  |      1.9834  |     0.3379  |   0.2776  |               |              2.8251  |
|          |      7  |      1.3096  |     0.7734  |   0.6326  |               |              3.2230  |
|          |      8  |      1.1934  |     0.8398  |   0.8027  |               |              3.6273  |
|          |      9  |      1.1221  |     0.8672  |   0.8652  |               |              3.9966  |
|          |   eval  |      1.1221  |     0.8672  |   0.8652  |       0.8733  |              4.1667  |
------------------------------------------------------------------------------------------------------

|      23  |      0  |      1.4639  |     0.6709  |   0.4754  |               |              0.4336  |
|          |      1  |      1.3584  |     0.7500  |   0.5378  |               |              0.8545  |
|          |      2  |      2.2891  |     0.2959  |   0.2018  |               |              1.2695  |
|          |      3  |      2.1191  |     0.3115  |   0.1732  |               |              1.6732  |
|          |      4  |      2.1641  |     0.1846  |   0.1582  |               |              2.0733  |
|          |      5  |      2.2754  |     0.1035  |   0.1000  |               |              2.4809  |
|          |      6  |      2.2715  |     0.1055  |   0.0996  |               |              2.8855  |
|          |      7  |      2.2539  |     0.1641  |   0.1086  |               |              3.2932  |
|          |      8  |      1.9805  |     0.3164  |   0.2464  |               |              3.6897  |
|          |      9  |      1.7461  |     0.4834  |   0.4757  |               |              4.0579  |
|          |   eval  |      1.7461  |     0.4834  |   0.4757  |       0.4814  |              4.2283  |
------------------------------------------------------------------------------------------------------

|      24  |      0  |      1.4375  |     0.6914  |   0.5519  |               |              0.4222  |
|          |      1  |      1.4746  |     0.6953  |   0.4057  |               |              0.8424  |
|          |      2  |      2.0156  |     0.3818  |   0.1004  |               |              1.2659  |
|          |      3  |      2.1074  |     0.2656  |   0.2413  |               |              1.6472  |
|          |      4  |      2.3027  |     0.0820  |   0.1000  |               |              2.0231  |
|          |      5  |      2.2988  |     0.0918  |   0.1000  |               |              2.3993  |
|          |      6  |      2.1719  |     0.2236  |   0.1119  |               |              2.7785  |
|          |      7  |      1.7891  |     0.4717  |   0.2838  |               |              3.1629  |
|          |      8  |      1.2861  |     0.7910  |   0.6830  |               |              3.5628  |
|          |      9  |      1.1787  |     0.8418  |   0.8394  |               |              3.9344  |
|          |   eval  |      1.1787  |     0.8418  |   0.8394  |       0.8474  |              4.1046  |
------------------------------------------------------------------------------------------------------


================================================================================
